TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Customer_Age_encoded,Target
78,2023-04-11 16:29:14,0,36,0,52,0,71,0,846,2024-11-04 08:08:08,4,1
1211,2023-06-27 16:44:19,0,15,0,50,0,131,0,1581,2024-11-04 08:09:35,4,2
588,2023-07-10 18:16:08,0,23,2,1,3,46,0,302,2024-11-04 08:07:04,0,1
777,2023-05-05 16:32:11,0,33,2,8,3,15,0,1318,2024-11-04 08:09:06,1,1
451,2023-04-03 17:15:01,0,28,0,0,3,162,0,180,2024-11-04 08:06:36,0,2
1575,2023-03-31 16:06:57,0,26,0,37,0,110,0,262,2024-11-04 08:06:32,3,2
794,2023-02-06 17:30:00,0,22,2,3,3,163,0,426,2024-11-04 08:07:12,0,2
1562,2023-11-20 16:39:15,0,22,0,8,3,113,0,22,2024-11-04 08:07:06,1,2
717,2023-02-13 16:53:57,0,21,2,0,3,124,0,53,2024-11-04 08:10:09,0,2
1336,2023-12-12 16:23:31,0,10,0,18,1,119,0,679,2024-11-04 08:12:19,2,2
1366,2023-12-14 18:32:14,0,8,2,21,1,221,0,845,2024-11-04 08:11:51,2,0
316,2023-02-28 16:36:58,0,20,1,53,2,28,0,935,2024-11-04 08:09:24,4,1
434,2023-08-11 18:31:31,0,19,1,20,0,83,0,1373,2024-11-04 08:08:13,2,1
279,2023-06-06 18:54:15,0,1,2,21,1,110,0,1354,2024-11-04 08:07:01,2,2
653,2023-03-02 16:43:56,0,33,2,3,3,86,0,521,2024-11-04 08:07:09,0,1
223,2023-03-29 16:42:38,0,25,1,19,1,85,0,611,2024-11-04 08:11:59,2,1
593,2023-01-24 16:18:32,0,19,2,26,0,187,0,484,2024-11-04 08:11:22,2,0
303,2023-09-20 16:55:42,0,11,1,9,3,264,0,366,2024-11-04 08:08:30,1,0
315,2023-02-06 16:24:24,0,3,0,11,0,242,0,1435,2024-11-04 08:06:58,1,0
1593,2023-03-13 17:23:24,0,20,2,4,3,140,0,76,2024-11-04 08:07:50,0,2
581,2023-10-16 16:32:56,0,39,1,31,1,35,0,937,2024-11-04 08:06:23,3,1
401,2023-11-21 16:58:44,0,25,1,8,3,135,0,224,2024-11-04 08:12:18,1,2
1141,2023-01-24 17:17:20,0,28,2,37,2,205,0,259,2024-11-04 08:07:32,3,0
1119,2023-07-31 18:39:50,0,35,0,45,2,109,0,761,2024-11-04 08:07:31,4,2
187,2023-01-09 16:13:21,0,30,2,20,0,9,0,1598,2024-11-04 08:11:45,2,1
295,2023-04-12 16:03:37,0,40,0,1,3,107,0,38,2024-11-04 08:08:03,0,2
1069,2023-07-26 16:52:28,0,21,1,9,3,23,0,211,2024-11-04 08:09:53,1,1
1300,2023-10-04 17:49:29,0,6,1,56,2,80,0,806,2024-11-04 08:11:12,4,1
